Starting Part 2 suite 'combined' in /home/jacopominniti_sakana_ai/id-features
Results: results/part2-combined-169194
Controls: D=32 m=256 modules=8 k={2,4,8} N={4096,16384} repeats=5 ranks<=64
[84/210] part2-combined complete: repeat=2/5; llm_like_exact_shared; k=8; N=16384
[85/210] part2-combined complete: repeat=3/5; baseline; k=2; N=4096
[86/210] part2-combined complete: repeat=3/5; baseline; k=2; N=16384
[87/210] part2-combined complete: repeat=3/5; baseline; k=4; N=4096
[88/210] part2-combined complete: repeat=3/5; baseline; k=4; N=16384
[89/210] part2-combined complete: repeat=3/5; baseline; k=8; N=4096
[90/210] part2-combined complete: repeat=3/5; baseline; k=8; N=16384
[91/210] part2-combined complete: repeat=3/5; modular_support; k=2; N=4096
[92/210] part2-combined complete: repeat=3/5; modular_support; k=2; N=16384
[93/210] part2-combined complete: repeat=3/5; modular_support; k=4; N=4096
[94/210] part2-combined complete: repeat=3/5; modular_support; k=4; N=16384
[95/210] part2-combined complete: repeat=3/5; modular_support; k=8; N=4096
[96/210] part2-combined complete: repeat=3/5; modular_support; k=8; N=16384
[97/210] part2-combined complete: repeat=3/5; zipf_frequencies; k=2; N=4096
[98/210] part2-combined complete: repeat=3/5; zipf_frequencies; k=2; N=16384
[99/210] part2-combined complete: repeat=3/5; zipf_frequencies; k=4; N=4096
[100/210] part2-combined complete: repeat=3/5; zipf_frequencies; k=4; N=16384
[101/210] part2-combined complete: repeat=3/5; zipf_frequencies; k=8; N=4096
[102/210] part2-combined complete: repeat=3/5; zipf_frequencies; k=8; N=16384
[103/210] part2-combined complete: repeat=3/5; shared_amplitudes; k=2; N=4096
[104/210] part2-combined complete: repeat=3/5; shared_amplitudes; k=2; N=16384
[105/210] part2-combined complete: repeat=3/5; shared_amplitudes; k=4; N=4096
[106/210] part2-combined complete: repeat=3/5; shared_amplitudes; k=4; N=16384
[107/210] part2-combined complete: repeat=3/5; shared_amplitudes; k=8; N=4096
[108/210] part2-combined complete: repeat=3/5; shared_amplitudes; k=8; N=16384
[109/210] part2-combined complete: repeat=3/5; coherent_geometry; k=2; N=4096
[110/210] part2-combined complete: repeat=3/5; coherent_geometry; k=2; N=16384
[111/210] part2-combined complete: repeat=3/5; coherent_geometry; k=4; N=4096
[112/210] part2-combined complete: repeat=3/5; coherent_geometry; k=4; N=16384
[113/210] part2-combined complete: repeat=3/5; coherent_geometry; k=8; N=4096
[114/210] part2-combined complete: repeat=3/5; coherent_geometry; k=8; N=16384
[115/210] part2-combined complete: repeat=3/5; llm_like; k=2; N=4096
[116/210] part2-combined complete: repeat=3/5; llm_like; k=2; N=16384
[117/210] part2-combined complete: repeat=3/5; llm_like; k=4; N=4096
[118/210] part2-combined complete: repeat=3/5; llm_like; k=4; N=16384
[119/210] part2-combined complete: repeat=3/5; llm_like; k=8; N=4096
[120/210] part2-combined complete: repeat=3/5; llm_like; k=8; N=16384
[121/210] part2-combined complete: repeat=3/5; llm_like_exact_shared; k=2; N=4096
[122/210] part2-combined complete: repeat=3/5; llm_like_exact_shared; k=2; N=16384
[123/210] part2-combined complete: repeat=3/5; llm_like_exact_shared; k=4; N=4096
[124/210] part2-combined complete: repeat=3/5; llm_like_exact_shared; k=4; N=16384
[125/210] part2-combined complete: repeat=3/5; llm_like_exact_shared; k=8; N=4096
[126/210] part2-combined complete: repeat=3/5; llm_like_exact_shared; k=8; N=16384
[127/210] part2-combined complete: repeat=4/5; baseline; k=2; N=4096
[128/210] part2-combined complete: repeat=4/5; baseline; k=2; N=16384
[129/210] part2-combined complete: repeat=4/5; baseline; k=4; N=4096
[130/210] part2-combined complete: repeat=4/5; baseline; k=4; N=16384
[131/210] part2-combined complete: repeat=4/5; baseline; k=8; N=4096
[132/210] part2-combined complete: repeat=4/5; baseline; k=8; N=16384
[133/210] part2-combined complete: repeat=4/5; modular_support; k=2; N=4096
[134/210] part2-combined complete: repeat=4/5; modular_support; k=2; N=16384
[135/210] part2-combined complete: repeat=4/5; modular_support; k=4; N=4096
[136/210] part2-combined complete: repeat=4/5; modular_support; k=4; N=16384
[137/210] part2-combined complete: repeat=4/5; modular_support; k=8; N=4096
[138/210] part2-combined complete: repeat=4/5; modular_support; k=8; N=16384
[139/210] part2-combined complete: repeat=4/5; zipf_frequencies; k=2; N=4096
[140/210] part2-combined complete: repeat=4/5; zipf_frequencies; k=2; N=16384
[141/210] part2-combined complete: repeat=4/5; zipf_frequencies; k=4; N=4096
[142/210] part2-combined complete: repeat=4/5; zipf_frequencies; k=4; N=16384
[143/210] part2-combined complete: repeat=4/5; zipf_frequencies; k=8; N=4096
[144/210] part2-combined complete: repeat=4/5; zipf_frequencies; k=8; N=16384
[145/210] part2-combined complete: repeat=4/5; shared_amplitudes; k=2; N=4096
[146/210] part2-combined complete: repeat=4/5; shared_amplitudes; k=2; N=16384
[147/210] part2-combined complete: repeat=4/5; shared_amplitudes; k=4; N=4096
[148/210] part2-combined complete: repeat=4/5; shared_amplitudes; k=4; N=16384
[149/210] part2-combined complete: repeat=4/5; shared_amplitudes; k=8; N=4096
[150/210] part2-combined complete: repeat=4/5; shared_amplitudes; k=8; N=16384
[151/210] part2-combined complete: repeat=4/5; coherent_geometry; k=2; N=4096
[152/210] part2-combined complete: repeat=4/5; coherent_geometry; k=2; N=16384
[153/210] part2-combined complete: repeat=4/5; coherent_geometry; k=4; N=4096
[154/210] part2-combined complete: repeat=4/5; coherent_geometry; k=4; N=16384
[155/210] part2-combined complete: repeat=4/5; coherent_geometry; k=8; N=4096
[156/210] part2-combined complete: repeat=4/5; coherent_geometry; k=8; N=16384
[157/210] part2-combined complete: repeat=4/5; llm_like; k=2; N=4096
[158/210] part2-combined complete: repeat=4/5; llm_like; k=2; N=16384
[159/210] part2-combined complete: repeat=4/5; llm_like; k=4; N=4096
[160/210] part2-combined complete: repeat=4/5; llm_like; k=4; N=16384
[161/210] part2-combined complete: repeat=4/5; llm_like; k=8; N=4096
