Starting Part 2 suite 'geometry' in /home/jacopominniti_sakana_ai/id-features
Results: results/part2-geometry-169194
Controls: D=32 m=256 modules=8 k={2,4,8} N={4096,16384} repeats=5 ranks<=64
[81/150] part2-geometry complete: repeat=3/5; coherence=0.75; k=4; N=4096
[82/150] part2-geometry complete: repeat=3/5; coherence=0.75; k=4; N=16384
[83/150] part2-geometry complete: repeat=3/5; coherence=0.75; k=8; N=4096
[84/150] part2-geometry complete: repeat=3/5; coherence=0.75; k=8; N=16384
[85/150] part2-geometry complete: repeat=3/5; coherence=0.9; k=2; N=4096
[86/150] part2-geometry complete: repeat=3/5; coherence=0.9; k=2; N=16384
[87/150] part2-geometry complete: repeat=3/5; coherence=0.9; k=4; N=4096
[88/150] part2-geometry complete: repeat=3/5; coherence=0.9; k=4; N=16384
[89/150] part2-geometry complete: repeat=3/5; coherence=0.9; k=8; N=4096
[90/150] part2-geometry complete: repeat=3/5; coherence=0.9; k=8; N=16384
[91/150] part2-geometry complete: repeat=4/5; coherence=0; k=2; N=4096
[92/150] part2-geometry complete: repeat=4/5; coherence=0; k=2; N=16384
[93/150] part2-geometry complete: repeat=4/5; coherence=0; k=4; N=4096
[94/150] part2-geometry complete: repeat=4/5; coherence=0; k=4; N=16384
[95/150] part2-geometry complete: repeat=4/5; coherence=0; k=8; N=4096
[96/150] part2-geometry complete: repeat=4/5; coherence=0; k=8; N=16384
[97/150] part2-geometry complete: repeat=4/5; coherence=0.25; k=2; N=4096
[98/150] part2-geometry complete: repeat=4/5; coherence=0.25; k=2; N=16384
[99/150] part2-geometry complete: repeat=4/5; coherence=0.25; k=4; N=4096
[100/150] part2-geometry complete: repeat=4/5; coherence=0.25; k=4; N=16384
[101/150] part2-geometry complete: repeat=4/5; coherence=0.25; k=8; N=4096
[102/150] part2-geometry complete: repeat=4/5; coherence=0.25; k=8; N=16384
[103/150] part2-geometry complete: repeat=4/5; coherence=0.5; k=2; N=4096
[104/150] part2-geometry complete: repeat=4/5; coherence=0.5; k=2; N=16384
[105/150] part2-geometry complete: repeat=4/5; coherence=0.5; k=4; N=4096
[106/150] part2-geometry complete: repeat=4/5; coherence=0.5; k=4; N=16384
[107/150] part2-geometry complete: repeat=4/5; coherence=0.5; k=8; N=4096
[108/150] part2-geometry complete: repeat=4/5; coherence=0.5; k=8; N=16384
[109/150] part2-geometry complete: repeat=4/5; coherence=0.75; k=2; N=4096
[110/150] part2-geometry complete: repeat=4/5; coherence=0.75; k=2; N=16384
[111/150] part2-geometry complete: repeat=4/5; coherence=0.75; k=4; N=4096
[112/150] part2-geometry complete: repeat=4/5; coherence=0.75; k=4; N=16384
[113/150] part2-geometry complete: repeat=4/5; coherence=0.75; k=8; N=4096
[114/150] part2-geometry complete: repeat=4/5; coherence=0.75; k=8; N=16384
[115/150] part2-geometry complete: repeat=4/5; coherence=0.9; k=2; N=4096
[116/150] part2-geometry complete: repeat=4/5; coherence=0.9; k=2; N=16384
[117/150] part2-geometry complete: repeat=4/5; coherence=0.9; k=4; N=4096
[118/150] part2-geometry complete: repeat=4/5; coherence=0.9; k=4; N=16384
[119/150] part2-geometry complete: repeat=4/5; coherence=0.9; k=8; N=4096
[120/150] part2-geometry complete: repeat=4/5; coherence=0.9; k=8; N=16384
[121/150] part2-geometry complete: repeat=5/5; coherence=0; k=2; N=4096
[122/150] part2-geometry complete: repeat=5/5; coherence=0; k=2; N=16384
[123/150] part2-geometry complete: repeat=5/5; coherence=0; k=4; N=4096
[124/150] part2-geometry complete: repeat=5/5; coherence=0; k=4; N=16384
[125/150] part2-geometry complete: repeat=5/5; coherence=0; k=8; N=4096
[126/150] part2-geometry complete: repeat=5/5; coherence=0; k=8; N=16384
[127/150] part2-geometry complete: repeat=5/5; coherence=0.25; k=2; N=4096
[128/150] part2-geometry complete: repeat=5/5; coherence=0.25; k=2; N=16384
[129/150] part2-geometry complete: repeat=5/5; coherence=0.25; k=4; N=4096
[130/150] part2-geometry complete: repeat=5/5; coherence=0.25; k=4; N=16384
[131/150] part2-geometry complete: repeat=5/5; coherence=0.25; k=8; N=4096
[132/150] part2-geometry complete: repeat=5/5; coherence=0.25; k=8; N=16384
[133/150] part2-geometry complete: repeat=5/5; coherence=0.5; k=2; N=4096
[134/150] part2-geometry complete: repeat=5/5; coherence=0.5; k=2; N=16384
[135/150] part2-geometry complete: repeat=5/5; coherence=0.5; k=4; N=4096
[136/150] part2-geometry complete: repeat=5/5; coherence=0.5; k=4; N=16384
[137/150] part2-geometry complete: repeat=5/5; coherence=0.5; k=8; N=4096
[138/150] part2-geometry complete: repeat=5/5; coherence=0.5; k=8; N=16384
[139/150] part2-geometry complete: repeat=5/5; coherence=0.75; k=2; N=4096
[140/150] part2-geometry complete: repeat=5/5; coherence=0.75; k=2; N=16384
[141/150] part2-geometry complete: repeat=5/5; coherence=0.75; k=4; N=4096
[142/150] part2-geometry complete: repeat=5/5; coherence=0.75; k=4; N=16384
